FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160101;0000;35,5625;;;
160102;0000;28,4565;;;
160103;0000;29,7174;;;
160104;0000;37,8958;;;
160105;0000;56,4375;;;
160106;0000;49,3333;;;
160107;0000;35,3542;;;
160108;0000;29,3125;;;
160109;0000;34,0417;;;
160110;0000;33,5208;;;
160111;0000;31,6667;;;
160112;0000;;;;
160113;0000;;;;
160114;0000;;;;
160115;0000;;;;
160116;0000;48,25;;;
160117;0000;44,7292;;;
160118;0000;66,6041;;;
160119;0000;45,8958;;;
160120;0000;51,5208;;;
160121;0000;41,5833;;;
160122;0000;43,5417;;;
160123;0000;35,125;;;
160124;0000;14,9375;;;
160125;0000;29,3958;;;
160126;0000;25,8333;;;
160127;0000;35,2917;;;
160128;0000;36,5625;;;
160129;0000;33,5625;;;
160130;0000;37,9583;;;
160131;0000;38,4167;;;
160201;0000;43,9375;;;
160202;0000;39,8958;;;
160203;0000;44,7708;;;
160204;0000;36,25;;;
160205;0000;39,4167;;;
160206;0000;44,1875;;;
160207;0000;34,6458;;;
160208;0000;39,8182;;;
160209;0000;58,1042;;;
160210;0000;45,3542;;;
160211;0000;40,2083;;;
160212;0000;44,4792;;;
160213;0000;43,9583;;;
160214;0000;43,7083;;;
160215;0000;56,0208;;;
160216;0000;36,5625;;;
160217;0000;40,4792;;;
160218;0000;39,6875;;;
160219;0000;49,4091;;;
160220;0000;54,1667;;;
160221;0000;46,4375;;;
160222;0000;49,6667;;;
160223;0000;60,6458;;;
160224;0000;53,8125;;;
160225;0000;64,3125;;;
160226;0000;45,375;;;
160227;0000;59,625;;;
160228;0000;53,8333;;;
160229;0000;55,5208;;;
160301;0000;88;;;
160302;0000;74,4783;;;
160303;0000;55,3913;;;
160304;0000;57,2174;;;
160305;0000;51,5;;;
160306;0000;37,5;;;
160307;0000;34,4792;;;
160308;0000;47,2917;;;
160309;0000;64,0209;;;
160310;0000;66,125;;;
160311;0000;59,5417;;;
160312;0000;41,8958;;;
160313;0000;42,7708;;;
160314;0000;49,325;;;
160315;0000;57,9375;;;
160316;0000;66,4166;;;
160317;0000;40,3125;;;
160318;0000;59,7917;;;
160319;0000;60,4167;;;
160320;0000;52,6875;;;
160321;0000;53,5625;;;
160322;0000;71,3334;;;
160323;0000;58,9375;;;
160324;0000;68,5209;;;
160325;0000;60,5833;;;
160326;0000;65,625;;;
160327;0000;57,7083;;;
160328;0000;49,2917;;;
160329;0000;36,3333;;;
160330;0000;43,8913;;;
160331;0000;60,3958;;;
160401;0000;49,625;;;
160402;0000;;;;
160403;0000;;;;
160404;0000;;;;
160405;0000;98,0625;;;
160406;0000;50,3958;;;
160407;0000;65,75;;;
160408;0000;70,7709;;;
160409;0000;44,0625;;;
160410;0000;64,8125;;;
160411;0000;83,6957;;;
160412;0000;69;;;
160413;0000;108,762;;;
160414;0000;61,2292;;;
160415;0000;18,9792;;;
160416;0000;27,7708;;;
160417;0000;10;;;
160418;0000;;;;
160419;0000;;;;
160420;0000;63,3125;;;
160421;0000;46,5208;;;
160422;0000;75,8959;;;
160423;0000;25,4167;;;
160424;0000;10,3333;;;
160425;0000;44,4792;;;
160426;0000;114,474;;;
160427;0000;119,688;;;
160428;0000;105,833;;;
160429;0000;119,896;;;
160430;0000;144,667;;;
160501;0000;78,5834;;;
160502;0000;74,4375;;;
160503;0000;90,7916;;;
160504;0000;70,7084;;;
160505;0000;35,8125;;;
160506;0000;75,8959;;;
160507;0000;63,7917;;;
160508;0000;41,5833;;;
160509;0000;55,5833;;;
160510;0000;74,125;;;
160511;0000;54,0625;;;
160512;0000;95,0416;;;
160513;0000;112,375;;;
160514;0000;68,8334;;;
160515;0000;57,7708;;;
160516;0000;70;;;
160517;0000;46,4565;;;
160518;0000;48,0476;;;
160519;0000;82,9791;;;
160520;0000;58,4348;;;
160521;0000;52,1364;;;
160522;0000;94,3182;;;
160523;0000;86,375;;;
160524;0000;99,8959;;;
160525;0000;81,7916;;;
160526;0000;106;;;
160527;0000;77,0416;;;
160528;0000;79,3959;;;
160529;0000;46,5;;;
160530;0000;25,9167;;;
160531;0000;35,2292;;;
160601;0000;58,125;;;
160602;0000;61,0833;;;
160603;0000;25,2083;;;
160604;0000;23,6042;;;
160605;0000;47,7292;;;
160606;0000;84,875;;;
160607;0000;144;;;
160608;0000;139,083;;;
160609;0000;173,646;;;
160610;0000;141,896;;;
160611;0000;140,75;;;
160612;0000;94,4375;;;
160613;0000;48,1042;;;
160614;0000;94,8334;;;
160615;0000;96,4375;;;
160616;0000;128,604;;;
160617;0000;136,521;;;
160618;0000;169,312;;;
160619;0000;194,167;;;
160620;0000;98,0454;;;
160621;0000;98,9584;;;
160622;0000;124,438;;;
160623;0000;102,021;;;
160624;0000;87,8043;;;
160625;0000;121,938;;;
160626;0000;173,729;;;
160627;0000;171,438;;;
160628;0000;85,4584;;;
160629;0000;44,3542;;;
160630;0000;97,5209;;;
160701;0000;110,188;;;
160702;0000;54,0625;;;
160703;0000;51,4167;;;
160704;0000;76,3334;;;
160705;0000;80,3334;;;
160706;0000;130,688;;;
160707;0000;125,333;;;
160708;0000;74,0416;;;
160709;0000;128,854;;;
160710;0000;111,75;;;
160711;0000;31,4167;;;
160712;0000;;;;
160713;0000;;;;
160714;0000;26,7708;;;
160715;0000;105,521;;;
160716;0000;142,625;;;
160717;0000;111,604;;;
160718;0000;113,333;;;
160719;0000;102,667;;;
160720;0000;75,0625;;;
160721;0000;129,542;;;
160722;0000;85,6459;;;
160723;0000;105,417;;;
160724;0000;76,1875;;;
160725;0000;16,6667;;;
160726;0000;108,146;;;
160727;0000;119,667;;;
160728;0000;104,208;;;
160729;0000;82,6041;;;
160730;0000;62,2708;;;
160731;0000;45,25;;;
160801;0000;118,354;;;
160802;0000;88,5834;;;
160803;0000;87,1875;;;
160804;0000;84,375;;;
160805;0000;69,7291;;;
160806;0000;81,0209;;;
160807;0000;72,9375;;;
160808;0000;93,3125;;;
160809;0000;129,146;;;
160810;0000;98,9584;;;
160811;0000;84,4565;;;
160812;0000;106,125;;;
160813;0000;81,0834;;;
160814;0000;92,6666;;;
160815;0000;60,1304;;;
160816;0000;30,8478;;;
160817;0000;31,0435;;;
160818;0000;54,75;;;
160819;0000;51,9783;;;
160820;0000;64,0209;;;
160821;0000;81,7084;;;
160822;0000;82,5;;;
160823;0000;35,5625;;;
160824;0000;45,8125;;;
160825;0000;64,4375;;;
160826;0000;51,5833;;;
160827;0000;41,625;;;
160828;0000;33,1667;;;
160829;0000;64,5209;;;
160830;0000;67,5625;;;
160831;0000;39,6667;;;
160901;0000;44,3333;;;
160902;0000;55,75;;;
160903;0000;69,7709;;;
160904;0000;58,8542;;;
160905;0000;82,0209;;;
160906;0000;106,604;;;
160907;0000;98,9584;;;
160908;0000;84,5209;;;
160909;0000;115,854;;;
160910;0000;99,0625;;;
160911;0000;26,3958;;;
160912;0000;27,4167;;;
160913;0000;85,6459;;;
160914;0000;81,8541;;;
160915;0000;62,1458;;;
160916;0000;60,0208;;;
160917;0000;53;;;
160918;0000;107,375;;;
160919;0000;73,5652;;;
160920;0000;55,1458;;;
160921;0000;58,5952;;;
160922;0000;69,8541;;;
160923;0000;60,5417;;;
160924;0000;59,0417;;;
160925;0000;30,5625;;;
160926;0000;42,3125;;;
160927;0000;53,3542;;;
160928;0000;58,0625;;;
160929;0000;17,9167;;;
160930;0000;40,7917;;;
161001;0000;44,25;;;
161002;0000;43,8125;;;
161003;0000;39,75;;;
161004;0000;30,2708;;;
161005;0000;49,125;;;
161006;0000;61,5625;;;
161007;0000;34,1042;;;
161008;0000;50,0625;;;
161009;0000;48,2708;;;
161010;0000;34;;;
161011;0000;43,3542;;;
161012;0000;40,6667;;;
161013;0000;31,4375;;;
161014;0000;51,7708;;;
161015;0000;27,5625;;;
161016;0000;9,14583;;;
161017;0000;18,4167;;;
161018;0000;15,5417;;;
161019;0000;29,25;;;
161020;0000;42,5;;;
161021;0000;54,3333;;;
161022;0000;33,625;;;
161023;0000;24,5417;;;
161024;0000;22,6042;;;
161025;0000;33,225;;;
161026;0000;51,0208;;;
161027;0000;72,1818;;;
161028;0000;37;;;
161029;0000;46,2292;;;
161030;0000;31,5833;;;
161031;0000;24,5833;;;
161101;0000;19,1458;;;
161102;0000;33,8958;;;
161103;0000;52,0625;;;
161104;0000;45,7083;;;
161105;0000;42,4583;;;
161106;0000;33,9375;;;
161107;0000;41,8542;;;
161108;0000;38,7083;;;
161109;0000;48,7083;;;
161110;0000;50,4167;;;
161111;0000;57,0208;;;
161112;0000;50,0208;;;
161113;0000;38,4167;;;
161114;0000;56,0208;;;
161115;0000;39,0833;;;
161116;0000;42,4167;;;
161117;0000;52,9167;;;
161118;0000;98,6666;;;
161119;0000;57,8958;;;
161120;0000;33,6042;;;
161121;0000;37,4375;;;
161122;0000;36,5833;;;
161123;0000;37,5417;;;
161124;0000;44,8542;;;
161125;0000;33,7708;;;
161126;0000;28,0625;;;
161127;0000;26,5417;;;
161128;0000;46,4792;;;
161129;0000;73,0416;;;
161130;0000;66,2916;;;
161201;0000;51,375;;;
161202;0000;57,7083;;;
161203;0000;47,7292;;;
161204;0000;16,8542;;;
161205;0000;29,3333;;;
161206;0000;44,2917;;;
161207;0000;52,4167;;;
161208;0000;37,1042;;;
161209;0000;21,7917;;;
161210;0000;32,7727;;;
161211;0000;;;;
161212;0000;;;;
161213;0000;45,6136;;;
161214;0000;74,7291;;;
161215;0000;106,188;;;
161216;0000;47,5208;;;
161217;0000;35,7292;;;
161218;0000;37,6875;;;
161219;0000;46,9167;;;
161220;0000;72,5526;;;
161221;0000;59,2708;;;
161222;0000;59,5833;;;
161223;0000;69,5;;;
161224;0000;88,1875;;;
161225;0000;28,1087;;;
161226;0000;16,7083;;;
161227;0000;32,325;;;
161228;0000;45,625;;;
161229;0000;38,9167;;;
161230;0000;40,8542;;;
161231;0000;35,2917;;;
170101;0000;38,1042;;;
170102;0000;46,1458;;;
170103;0000;74,3958;;;
170104;0000;48,375;;;
170105;0000;62,125;;;
170106;0000;56,0417;;;
170107;0000;68,7917;;;
170108;0000;39,1458;;;
170109;0000;26,4565;;;
170110;0000;35,4167;;;
170111;0000;43,7292;;;
170112;0000;61,6875;;;
170113;0000;52,3125;;;
170114;0000;48,8125;;;
170115;0000;41,2083;;;
170116;0000;53,2292;;;
170117;0000;63,4375;;;
170118;0000;75,3125;;;
170119;0000;115,979;;;
170120;0000;108,021;;;
170121;0000;98,6667;;;
170122;0000;81,1875;;;
170123;0000;73,0417;;;
170124;0000;92,2083;;;
170125;0000;81,0625;;;
170126;0000;111,562;;;
170127;0000;57,9167;;;
170128;0000;74,5208;;;
170129;0000;81,5;;;
170130;0000;91,6667;;;
170131;0000;61,2174;;;
170201;0000;107,848;;;
170202;0000;72,7292;;;
170203;0000;32,0208;;;
170204;0000;26,1875;;;
170205;0000;37,625;;;
170206;0000;49,8958;;;
170207;0000;51,7708;;;
170208;0000;40,2917;;;
170209;0000;51,8125;;;
170210;0000;61,5417;;;
170211;0000;51,7917;;;
170212;0000;45,2708;;;
170213;0000;58,0625;;;
170214;0000;50,625;;;
170215;0000;48,2292;;;
170216;0000;47,9375;;;
170217;0000;36,6875;;;
170218;0000;43,5;;;
170219;0000;47,7708;;;
170220;0000;62,7917;;;
170221;0000;54,2708;;;
170222;0000;65,4792;;;
170223;0000;51,3333;;;
170224;0000;47,4583;;;
170225;0000;43,4375;;;
170226;0000;31,9565;;;
170227;0000;34,6875;;;
170228;0000;34,2083;;;
170301;0000;37,5208;;;
170302;0000;34,125;;;
170303;0000;46,375;;;
170304;0000;42,6042;;;
170305;0000;51,3542;;;
170306;0000;60,1042;;;
170307;0000;77,7917;;;
170308;0000;65,7292;;;
170309;0000;32,7083;;;
170310;0000;55,4583;;;
170311;0000;63,9375;;;
170312;0000;65,9792;;;
170313;0000;105,542;;;
170314;0000;48,5833;;;
170315;0000;53,125;;;
170316;0000;78,5625;;;
170317;0000;72,7083;;;
170318;0000;64,4167;;;
170319;0000;50,25;;;
170320;0000;73,1042;;;
170321;0000;73,5208;;;
170322;0000;67,8333;;;
170323;0000;;;;
170324;0000;;;;
170325;0000;42,125;;;
170326;0000;39,1042;;;
170327;0000;57,1458;;;
170328;0000;59,2917;;;
170329;0000;38,6875;;;
170330;0000;50,1042;;;
170331;0000;57,7083;;;
170401;0000;42,2083;;;
170402;0000;50,2083;;;
170403;0000;66,0417;;;
170404;0000;50,4583;;;
170405;0000;71,9583;;;
170406;0000;78,6042;;;
170407;0000;18,6667;;;
170408;0000;26,875;;;
170409;0000;46,1458;;;
170410;0000;93,9375;;;
170411;0000;91,4375;;;
170412;0000;74,375;;;
170413;0000;44,625;;;
170414;0000;41,875;;;
170415;0000;57;;;
170416;0000;69;;;
170417;0000;61,6875;;;
170418;0000;45,4792;;;
170419;0000;45,4792;;;
170420;0000;29,2917;;;
170421;0000;43,4792;;;
170422;0000;53,3958;;;
170423;0000;48,5417;;;
170424;0000;56,0833;;;
170425;0000;41,3043;;;
170426;0000;81,5833;;;
170427;0000;107,417;;;
170428;0000;120,188;;;
170429;0000;125,417;;;
170430;0000;100,604;;;
170501;0000;45;;;
170502;0000;87;;;
170503;0000;130;;;
170504;0000;112;;;
170505;0000;83;;;
170506;0000;83;;;
170507;0000;71;;;
170508;0000;40;;;
170509;0000;99;;;
170510;0000;68;;;
170511;0000;19;;;
170512;0000;47;;;
170513;0000;59;;;
170514;0000;74;;;
170515;0000;71;;;
170516;0000;58;;;
170517;0000;59;;;
170518;0000;17;;;
170519;0000;83;;;
170520;0000;143;;;
170521;0000;125;;;
170522;0000;123;;;
170523;0000;80;;;
170524;0000;87;;;
170525;0000;47;;;
170526;0000;88;;;
170527;0000;97;;;
170528;0000;111;;;
170529;0000;87;;;
170530;0000;91;;;
170531;0000;135;;;
170601;0000;138;;;
170602;0000;114;;;
170603;0000;70;;;
170604;0000;96;;;
170605;0000;129;;;
170606;0000;157;;;
170607;0000;114;;;
170608;0000;39;;;
170609;0000;125;;;
170610;0000;148;;;
170611;0000;106;;;
170612;0000;101;;;
170613;0000;73;;;
170614;0000;;;;
170615;0000;;;;
170616;0000;29;;;
170617;0000;18;;;
170618;0000;92;;;
170619;0000;135;;;
170620;0000;178;;;
170621;0000;118;;;
170622;0000;44;;;
170623;0000;79;;;
170624;0000;95;;;
170625;0000;46;;;
170626;0000;17;;;
170627;0000;74;;;
170628;0000;97;;;
170629;0000;147;;;
170630;0000;158;;;
170701;0000;167;;;
170702;0000;105;;;
170703;0000;48;;;
170704;0000;38;;;
170705;0000;109;;;
170706;0000;139;;;
170707;0000;161;;;
170708;0000;174;;;
170709;0000;85;;;
170710;0000;116;;;
170711;0000;129;;;
170712;0000;72;;;
170713;0000;;;;
170714;0000;35;;;
170715;0000;22;;;
170716;0000;43;;;
170717;0000;131;;;
170718;0000;164;;;
170719;0000;193;;;
170720;0000;199;;;
170721;0000;125;;;
170722;0000;47;;;
170723;0000;70;;;
170724;0000;83;;;
170725;0000;87;;;
170726;0000;110;;;
170727;0000;99;;;
170728;0000;102;;;
170729;0000;115;;;
170730;0000;86;;;
170731;0000;124;;;
170801;0000;56;;;
170802;0000;116;;;
170803;0000;104;;;
170804;0000;45;;;
170805;0000;75;;;
170806;0000;112;;;
170807;0000;62;;;
170808;0000;91;;;
170809;0000;79;;;
170810;0000;17;;;
170811;0000;18;;;
170812;0000;53;;;
170813;0000;63;;;
170814;0000;55;;;
170815;0000;80;;;
170816;0000;90;;;
170817;0000;92;;;
170818;0000;;;;
170819;0000;;;;
170820;0000;106;;;
170821;0000;114;;;
170822;0000;82;;;
170823;0000;38;;;
170824;0000;24;;;
170825;0000;45;;;
170826;0000;80;;;
170827;0000;46;;;
170828;0000;30;;;
170829;0000;34;;;
170830;0000;89;;;
170831;0000;76;;;
170901;0000;31;;;
170902;0000;35;;;
170903;0000;19;;;
170904;0000;58;;;
170905;0000;72;;;
170906;0000;75;;;
170907;0000;68;;;
170908;0000;29;;;
170909;0000;47;;;
170910;0000;22;;;
170911;0000;61;;;
170912;0000;62;;;
170913;0000;32;;;
170914;0000;40;;;
170915;0000;62;;;
170916;0000;;;;
170917;0000;;;;
170918;0000;;;;
170919;0000;;;;
170920;0000;;;;
170921;0000;49;;;
170922;0000;76;;;
170923;0000;72;;;
170924;0000;38;;;
170925;0000;;;;
170926;0000;;;50;
170927;0000;;;54;
170928;0000;;;;
170929;0000;;;;
170930;0000;;;;
171001;0000;;;;
171002;0000;;;;
171003;0000;;;42;
171004;0000;;;21;
171005;0000;;;12;
171006;0000;;;39;
171007;0000;;;22;
171008;0000;;;14;
171009;0000;;;17;
171010;0000;;;20;
171011;0000;;;;
171012;0000;;;;
171013;0000;;;45;
171014;0000;;;57;
171015;0000;;;53;
171016;0000;;;27;
171017;0000;;;38;
171018;0000;38;;;
171019;0000;52;;;
171020;0000;56;;;
171021;0000;61;;;
171022;0000;56;;;
171023;0000;41;;;
171024;0000;37;;;
171025;0000;40;;;
171026;0000;42;;;
171027;0000;46;;;
171028;0000;25;;;
171029;0000;16;;;
171030;0000;36;;;
171031;0000;40;;;
171101;0000;30;;;
171102;0000;20;;;
171103;0000;35;;;
171104;0000;38;;;
171105;0000;34;;;
171106;0000;30;;;
171107;0000;34;;;
171108;0000;35;;;
171109;0000;35;;;
171110;0000;59;;;
171111;0000;59;;;
171112;0000;52;;;
171113;0000;41;;;
171114;0000;45;;;
171115;0000;31;;;
171116;0000;46;;;
171117;0000;42;;;
171118;0000;47;;;
171119;0000;44;;;
171120;0000;33;;;
171121;0000;49;;;
171122;0000;57;;;
171123;0000;51;;;
171124;0000;39;;;
171125;0000;50;;;
171126;0000;44;;;
171127;0000;45;;;
171128;0000;41;;;
171129;0000;38;;;
171130;0000;51;;;
171201;0000;49;;;
171202;0000;40;;;
171203;0000;31;;;
171204;0000;43;;;
171205;0000;42;;;
171206;0000;42;;;
171207;0000;45;;;
171208;0000;41;;;
171209;0000;50;;;
171210;0000;57;;;
171211;0000;49;;;
171212;0000;30;;;
171213;0000;32;;;
171214;0000;46;;;
171215;0000;57;;;
171216;0000;47;;;
171217;0000;45;;;
171218;0000;;;;
171219;0000;;;;
171220;0000;;;;
171221;0000;;;;
171222;0000;;;;
171223;0000;;;;
171224;0000;;;;
171225;0000;;;;
171226;0000;;;;
171227;0000;;;;
171228;0000;42;;;
171229;0000;41;;;
171230;0000;37;;;
171231;0000;32;;;
180101;0000;36;;;
180102;0000;41;;;
180103;0000;42;;;
180104;0000;34;;;
180105;0000;33;;;
180106;0000;46;;;
180107;0000;57;;;
180108;0000;38;;;
180109;0000;38;;;
180110;0000;56;;;
180111;0000;45;;;
180112;0000;42;;;
180113;0000;39;;;
180114;0000;37;;;
180115;0000;31;;;
180116;0000;35;;;
180117;0000;43;;;
180118;0000;55;;;
180119;0000;55;;;
180120;0000;41;;;
180121;0000;33;;;
180122;0000;41;;;
180123;0000;43;;;
180124;0000;53;;;
180125;0000;50;;;
180126;0000;53;;;
180127;0000;52;;;
180128;0000;48;;;
180129;0000;57;;;
180130;0000;52;;;
180131;0000;61;;;
180201;0000;64;;;
180202;0000;59;;;
180203;0000;48;;;
180204;0000;42;;;
180205;0000;45;;;
180206;0000;42;;;
180207;0000;47;;;
180208;0000;51;;;
180209;0000;46;;;
180210;0000;56;;;
180211;0000;49;;;
180212;0000;70;;;
180213;0000;74;;;
180214;0000;50;;;
180215;0000;53;;;
180216;0000;52;;;
180217;0000;42;;;
180218;0000;31;;;
180219;0000;27;;;
180220;0000;31;;;
180221;0000;32;;;
180222;0000;43;;;
180223;0000;42;;;
180224;0000;29;;;
180225;0000;34;;;
180226;0000;40;;;
180227;0000;33;;;
180228;0000;39;;;
180301;0000;63;;;
180302;0000;62;;;
180303;0000;46;;;
180304;0000;38;;;
180305;0000;63;;;
180306;0000;;;;
180307;0000;47;;;
180308;0000;51;;;
180309;0000;54;;;
180310;0000;34;;;
180311;0000;41;;;
180312;0000;62;;;
180313;0000;59;;;
180314;0000;52;;;
180315;0000;73;;;
180316;0000;49;;;
180317;0000;41;;;
180318;0000;16;;;
180319;0000;42;;;
180320;0000;48;;;
180321;0000;61;;;
180322;0000;38;;;
180323;0000;39;;;
180324;0000;64;;;
180325;0000;58;;;
180326;0000;69;;;
180327;0000;77;;;
180328;0000;72;;;
180329;0000;83;;;
180330;0000;58;;;
180331;0000;47;;;
180401;0000;36;;;
180402;0000;50;;;
180403;0000;53;;;
180404;0000;54;;;
180405;0000;59;;;
180406;0000;55;;;
180407;0000;50;;;
180408;0000;46;;;
180409;0000;39;;;
180410;0000;53;;;
180411;0000;35;;;
180412;0000;54;;;
180413;0000;60;;;
180414;0000;64;;;
180415;0000;72;;;
180416;0000;75;;;
180417;0000;79;;;
180418;0000;65;;;
180419;0000;74;;;
180420;0000;92;;;
180421;0000;82;;;
180422;0000;55;;;
180423;0000;86;;;
180424;0000;77;;;
180425;0000;92;;;
180426;0000;54;;;
180427;0000;103;;;
180428;0000;117;;;
180429;0000;51;;;
180430;0000;86;;;
180501;0000;83;;;
180502;0000;61;;;
180503;0000;79;;;
180504;0000;123;;;
180505;0000;87;;;
180506;0000;41;;;
180507;0000;38;;;
180508;0000;52;;;
180509;0000;43;;;
180510;0000;67;;;
180511;0000;140;;;
180512;0000;117;;;
180513;0000;73;;;
180514;0000;76;;;
180515;0000;122;;;
180516;0000;104;;;
180517;0000;75;;;
180518;0000;112;;;
180519;0000;154;;;
180520;0000;123;;;
180521;0000;76;;;
180522;0000;92;;;
180523;0000;139;;;
180524;0000;165;;;
180525;0000;153;;;
180526;0000;90;;;
180527;0000;110;;;
180528;0000;127;;;
180529;0000;46;;;
180530;0000;23;;;
180531;0000;30;;;
180601;0000;95;;;
180602;0000;113;;;
180603;0000;57;;;
180604;0000;133;;;
180605;0000;148;;;
180606;0000;92;;;
180607;0000;106;;;
180608;0000;113;;;
180609;0000;97;;;
180610;0000;13;;;
180611;0000;16;;;
180612;0000;76;;;
180613;0000;120;;;
180614;0000;166;;;
180615;0000;171;;;
180616;0000;174;;;
180617;0000;173;;;
180618;0000;113;;;
180619;0000;50;;;
180620;0000;92;;;
180621;0000;94;;;
180622;0000;101;;;
180623;0000;125;;;
180624;0000;83;;;
180625;0000;71;;;
180626;0000;98;;;
180627;0000;131;;;
180628;0000;85;;;
180629;0000;69;;;
180630;0000;73;;;
180701;0000;56;;;
180702;0000;57;;;
180703;0000;65;;;
180704;0000;52;;;
180705;0000;22;;;
180706;0000;25;;;
180707;0000;84;;;
180708;0000;136;;;
180709;0000;86;;;
180710;0000;30;;;
180711;0000;72;;;
180712;0000;125;;;
180713;0000;129;;;
180714;0000;88;;;
180715;0000;42;;;
180716;0000;55;;;
180717;0000;29;;;
180718;0000;23;;;
180719;0000;58;;;
180720;0000;103;;;
180721;0000;102;;;
180722;0000;48;;;
180723;0000;100;;;
180724;0000;110;;;
180725;0000;109;;;
180726;0000;72;;;
180727;0000;47;;;
180728;0000;91;;;
180729;0000;88;;;
180730;0000;91;;;
180731;0000;104;;;
180801;0000;94;;;
180802;0000;73;;;
180803;0000;106;;;
180804;0000;141;;;
180805;0000;136;;;
180806;0000;100;;;
180807;0000;28;;;
180808;0000;125;;;
180809;0000;104;;;
180810;0000;101;;;
180811;0000;86;;;
180812;0000;53;;;
180813;0000;35;;;
180814;0000;87;;;
180815;0000;93;;;
180816;0000;90;;;
180817;0000;59;;;
180818;0000;34;;;
180819;0000;72;;;
180820;0000;89;;;
180821;0000;81;;;
180822;0000;55;;;
180823;0000;45;;;
180824;0000;50;;;
180825;0000;80;;;
180826;0000;83;;;
180827;0000;32;;;
180828;0000;42;;;
180829;0000;46;;;
180830;0000;63;;;
180831;0000;33;;;
180901;0000;66;;;
180902;0000;70;;;
180903;0000;96;;;
180904;0000;99;;;
180905;0000;50;;;
180906;0000;74;;;
180907;0000;76;;;
180908;0000;77;;;
180909;0000;87;;;
180910;0000;76;;;
180911;0000;59;;;
180912;0000;66;;;
180913;0000;59;;;
180914;0000;42;;;
180915;0000;25;;;
180916;0000;31;;;
180917;0000;50;;;
180918;0000;19;;;
180919;0000;40;;;
180920;0000;99;;;
180921;0000;61;;;
180922;0000;25;;;
180923;0000;16;;;
180924;0000;55;;;
180925;0000;68;;;
180926;0000;66;;;
180927;0000;51;;;
180928;0000;44;;;
180929;0000;12;;;
180930;0000;19;;;
181001;0000;27;;;
181002;0000;40;;;
181003;0000;52;;;
181004;0000;76;;;
181005;0000;56;;;
181006;0000;51;;;
181007;0000;35;;;
181008;0000;20;;;
181009;0000;31;;;
181010;0000;60;;;
181011;0000;35;;;
181012;0000;34;;;
181013;0000;35;;;
181014;0000;37;;;
181015;0000;37;;;
181016;0000;30;;;
181017;0000;26;;;
181018;0000;31;;;
181019;0000;39;;;
181020;0000;34;;;
181021;0000;31;;;
181022;0000;42;;;
181023;0000;60;;;
181024;0000;31;;;
181025;0000;27;;;
181026;0000;38;;;
181027;0000;35;;;
181028;0000;30;;;
181029;0000;28;;;
181030;0000;14;;;
181031;0000;24;;;
181101;0000;40;;;
